,price,area,n_bedrooms,n_bathrooms,front_width,front_road_width,legal_docs,facing_direction,balcony_direction,property_type,city_province,district,address,url,title,description,interior
13,13000.0,200.0,5.0,4.0,,,Hợp đồng mua bán,,,"Nhà biệt thự, liền kề",TP.HCM,Cần Giờ,"Vinhomes Green Paradise, Long Hòa, Cần Giờ, Hồ Chí Minh",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/79-can-suat-noi-bo-can-gio-chiet-khau-22-booking-tang-5-chi-vang-tai-paradise-pr44193471,79 căn suất nội bộ Vinhomes Cần Giờ -Chiết khấu 22% - Booking tặng 5 chỉ VÀNG tại Vinhomes Paradise,"Chính thức nhận booking đợt đầu mở bán nhà phố, biệt thự Vinhomes Cần Giờ - 100tr/suất booking (Có hoàn lại)1) Loại hình sản phẩm+ Căn hộ chung cư: 50m² - 70m² - 100m²+ Nhà phố: 75m² - 90m² - 120m²+ S...",
14,31500.0,78.22,2.0,,,,Hợp đồng mua bán,,,Căn hộ chung cư,TP.HCM,Quận 1,"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-grand-marina-saigon/ban-2pn-78-22m2-toa-sea-jw-marriott-chi-31-5-ty-all-in-gia-tot-nhat-thi-truong-pr44193448,"Bán căn hộ 2PN - 78,22m2 tòa Sea - JW Marriott chỉ 31,5 tỷ all in giá tốt nhất thị trường","Grand Marina SaiGon.Bán căn hộ 2PN- 2WC - 78,22m2Giá 31,5tỷ.* View sông Sài Gòn, Thảo Cầm Viên* Full nội thất cơ bản từ chủ đầu tư: Full Hệ thống đèn chiếu sáng trong nhà, bếp, kệ bếp, máy lạnh âm trầ...",Full nội thất cơ bản từ chủ đầu tư.
15,4200.0,86.0,3.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,TP.HCM,Quận 7,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/ban-gap-view-song-2pn-53m2-gia-1-8ty-lh-0938826595-pr31562141,"Bán gấp căn hộ Q7 Riverside view sông 3PN giá 4.2tỷ - HĐMB, BIDV LS 5.5% LH:0706 679 ***","Thiết kế căn hộ Q7 Saigon Riverside:Bán gấp căn hộ Q7 Riverside view sông.Căn 3PN, rộng rãi, thoáng mát giá chỉ 4.2 tỷ.Có Hợp đồng mua bán (HĐMB), hỗ trợ vay BIDV lãi suất chỉ 5.5%.View sông cực đẹp k...",Cơ bản.
16,3500.0,68.0,2.0,2.0,,,Có sổ,,,Căn hộ chung cư,TP.HCM,Quận 7,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/tong-hop-100-tu-4-block-2pn-ban-3-5-ty-tim-hop-cho-kh-pr43959642,"Tổng hợp 100 căn từ 4 block Q7 Riverside, 2PN bán 3,5 tỷ, k phát sinh thêm chi phí . LH:0932 139 ***","Địa chỉ: Đường Đào Trí, P Phú Thuận, Quận 7.Lh:0932 139 ***.+ Căn 68m² có 2PN2WC.Giá 3.5 tỷ. k phát sinh thêm chi phí+ Vị trí căn đẹp, không gần thang máy, phòng rác.+ Ngân hàng BIDV TPbank.Hồ sơ pháp...",Cơ bản
17,8300.0,113.0,3.0,3.0,,,,,,Căn hộ chung cư,Đà Nẵng,Hải Châu,"Masteri Rivera Danang, Số 50, Đường Quy Mỹ, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quy-my-phuong-hoa-cuong-nam-prj-masteri-rivera-danang/doc-quyen-dual-key-113m2-truc-dien-song-so-huu-chi-voi-1-9ty-pr43422070,"Độc quyền căn Dual Key 113m2 - trực diện sông - sở hữu chỉ với 1,9 tỷ","* Masteri Rivera Đà Nẵng Dự án đầu tiên của Masterise Homes tại Đà Nẵng.Vị trí kim cương: Số 50 đường Quy Mỹ, phường Hòa Cường Nam, quận Hải Châu, TP. Đà Nẵng. Gần kề sông Hàn, Cầu Rồng, biển Mỹ Khê, ...","Nội thất liền tường sang trọng, kính Low - E 3 lớp cách âm, cản nhiệt."
18,3300.0,67.0,2.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,TP.HCM,Quận 7,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/ban-quan-ly-ban-gia-chenh-thap-2pn-2-9-ty-ls-5-5-nha-moi-pr41317388,"Ban quản lý bán Q7 Riverside 2PN 2WC 67m2 3.3 tỷ, view sông, nhà mới, pháp lý rõ ràng0939 720 ***","Ban quản lý Q7 Riverside cập nhật giá bán:* Giá 3.3 tỷ (2 phòng ngủ + 2WC).Diện tích: 67 m².Cập nhật các căn hộ giá tốt:https://duchunggroup.com.vn/san-pham/q7-saigon-riverside/Pháp lý chuẩn, lãi suất...","Full bộ bếp Malloca, sàn gỗ, tủ bếp trên, tủ bếp dưới, thiết bị vệ sinh 6 món, gạch ceramic, đá marble, hệ thống đèn chiếu sáng... Nhập khẩu cao cấp, xuất xứ rõ ràng."
19,2900.0,60.0,2.0,2.0,,,Hợp đồng mua bán,Đông - Nam,Tây - Bắc,Căn hộ chung cư,TP.HCM,Quận 9,"Vinhomes Grand Park, Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/doc-quyen-2pn-79m2-view-noi-khu-gia-re-chi-3-8-ty-nhan-ck-17-3-tong-uu-dai-len-den-1-ty-pr44151719,"Độc quyền giỏ hàng origami view vườn Nhật giảm sốc 30%. 1PN + 2,28 tỷ 2pn 2.9 tỷ , TT giãn đến 480N","HOT! Độc Quyền giỏ hàng Origami giá rẻ chiết khấu 28% + 125 triệu, view trực diện vườn Nhật , hồ cá KOI . Mua trực tiếp CĐT, giá rẻ hơn giá chuyển nhượng lại. Chính sách ưu đãi khủng trong T10, thanh ...",Cơ bản
20,12000.0,120.0,3.0,2.0,,,Có sổ,,,Căn hộ chung cư,TP.HCM,Bình Thạnh,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-vinmes-126-2m2-3pn-toa-landmark-2-view-song-cong-vien-pr28953623,"Bán căn hộ 3 phòng ngủ Vinhomes Central Park 120m2, căn góc view sông","Bán căn hộ 3PN, dự án Vinhomes Central Park.- Diện tích: 120m².- Căn góc đẹp nhất của toà nhà.- Thiết kế căn hộ: Phòng khách lớn, 3 phòng ngủ đều rộng; 2 WC.- Ban công rộng rãi, thoáng mát.- Nội thất ...",Đầy đủ
21,3900.0,73.0,2.0,2.0,,,Có sổ,,,Căn hộ chung cư,TP.HCM,Quận 9,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/quy-f1-mas-lumier-2-phong-ngu-gia-chi-4-2-ty-74m2-toan-450-trieu-ki-hop-dong-mua-ban-pr44110359,"Căn hộ hạng sang Vinhomes quận 9 2 phòng ngủ giá 3,9 tỷ 73m2 - chỉ 450 triệu kí hợp đồng mua bán","Giỏ hàng hiện có, thông tin giá bán thực.1PN + giá từ 3.5 tỷ diện tích 53m².2PN (74m²): Giá từ 4.2 tỷ, chỉ cần thanh toán từ 450 triệu đã ký hợp đồng mua bán ngay.2PN 73m² giá từ 3.9 tỷ.3PN (96m²): Gi...",Cơ bản
22,5000.0,50.0,1.0,1.0,,,Có sổ,,,Căn hộ chung cư,TP.HCM,Quận 2,"Masteri Thảo Điền, Xa Lộ Hà Nội, Thảo Điền, Quận 2, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-1pn-1wc-55m2-tai-4-8-ty-co-so-lh-pr43664591,Giỏ hàng 1PN Masteri Thảo Điền full nội thất sổ hồng sang tên ngay giá bán 5 tỷ. LH0704 589 ***,"Bán căn hộ 2 phòng ngủ Masteri Thảo Điền full nội thất, giá tốt, sổ hồng sang tên ngay!Diện tích: 55m² (1PN 1WC, phòng khách + bếp).Tình trạng: Full nội thất hiện đại, chỉ việc dọn vào ở.Pháp lý: Sổ h...",Full nội thất
23,8500.0,94.0,3.0,2.0,,,Có sổ,,,Căn hộ chung cư,TP.HCM,Quận 2,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/full-gio-hang-3pn-cuc-moi-gia-chi-tu-8-3-ty-shr-lh-pr43373179,"Full giỏ hàng căn hộ 3PN Masteri Thảo Điền, giá 8.5 tỷ, căn cực mới có sổ SHR LH:0932 139 ***","Full giỏ hàng căn hộ 3PN Masteri Thảo Điền căn cực mới - SHR LH:0932 139 ***.- Căn hộ 3PN - 2WC, diện tích 94m²....",
24,6500.0,63.5,2.0,2.0,,,Có sổ,,,Căn hộ chung cư,TP.HCM,Quận 2,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-nhanh-sang-trong-2pn-gia-7-3-ty-view-tang-cao-dep-lh-pr43389555,GIỎ HÀNG CĂN HỘ MASTERI THẢO ĐIỀN 2PN TỪ 6.5 TỶ SỔ HỒNG CÔNG CHỨNG NGAY0911 850 ***,"Thông tin căn hộ:Cần bán căn hộ Masteri Thảo Điền loại 2 phòng ngủ (2PN), sổ hồng riêng, cam kết công chứng ngay, phù hợp mua ở hoặc đầu tư lâu dài.Vị trí: Masteri Thảo Điền, Quận 2, TP Hồ Chí MinhLoạ...",Không nội thất.
25,2000.0,180.0,,,20.0,,Có sổ,,,Đất,TP.HCM,Củ Chi,"Đường Tỉnh Lộ 7, Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh",https://batdongsan.com.vn/ban-dat-duong-tinh-lo-7-xa-trung-lap-ha/ngop-bank-can-ban-gap-3-mat-tien-kinh-doanh-7-ngay-cho-dien-tich-180m2-gia-chi-2-ty-pr44193198,"Ngộp bank cần bán gấp 3 lô mặt tiền kinh doanh tỉnh lộ 7 ngay chợ, diện tích 180m2 giá chỉ 2 tỷ","Chủ ngộp bank còn mấy lô mặt tiền kinh doanh tỉnh lộ 7 ngay gần KCN Tây Bắc Củ Chi- Diện tích 150m² - 180m² toàn bộ mặt tiền đường lớn 20m kinh doanh ( hình thực tế )- Giá chỉ 2 tỷ , đang ngộp bank Ag...",
26,21800.0,109.0,6.0,6.0,12.0,12.0,Có sổ,Đông - Bắc,Đông - Bắc,"Nhà biệt thự, liền kề",TP.HCM,Quận 9,"Vinhomes Grand Park, 512, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-vinhomes-grand-park/cap-t-gio-hang-pho-du-an-quan-9-gia-chi-23-ty-can-goc-80-ty-pr44193149,Phòng kinh doanh chủ đầu tư Vinhomes Grand Park Quận 9 - Cập nhật giá bán chỉ từ 23 tỷ/căn dt 109m2,Phòng kinh doanh chủ đầu tư dự án căn hộ chung cư cao cấp Vinhome Grand Park cập nhật giỏ hàng nhà phố & biệt thự mới nhất tới quý khách hàng tháng 10/2025 như sau:Thông tin giỏ hàng nhà phố liền kề:+...,Cơ bản
27,,95.0,3.0,2.0,,,,Đông - Nam,,Căn hộ chung cư,Hà Nội,Cầu Giấy,"Dự án Sun Feliza Suites, Đường Phạm Hùng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-dich-vong-hau-prj-sun-feliza-suites/booking-f3-uu-dai-ngap-tran-ck-18-5-mien-phi-ql-3-nam-vay-ls-0-tang-qua-khung-pr44162276,"Booking F3 Sun Feliza-Ưu đãi ngập tràn: CK 20.5%, miễn phí QL 3 năm, vay LS 0% + Tặng quà khủng!","* Sau thành công vang dội của các tòa trước, Sun Property tiếp tục ra mắt tòa F3 - Mảnh ghép an cư hoàn thiện bức tranh sống sang tại Sun Feliza Suites Cầu Giấy.- Điểm nhấn tòa F3:  45 tầng cao - 392 ...",
28,3000.0,60.0,2.0,2.0,,,Có sổ,Đông,Đông - Nam,Căn hộ chung cư,Bình Dương,Thuận An,"Dự án A&T Saigon Riverside, Phường Vĩnh Phú, Thuận An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-vinh-phu-prj-a-t-saigon-riverside/nhan-booking-at-sai-gon-1pn-gia-1-7-ty-1pn-gia-2-2-ty-2pn-gia-3ty-3pn-gia-4-1ty-pr44164903,"Suất nội bộ A&T Saigon Riverside - GĐ1 giá chỉ từ 1,7 tỷ, căn hộ chuẩn 5*, vị trí kim cương, CK cao","Nhận booking suất nội bộ A&T Saigon Riverside giá tốt nhất thị trường, chỉ từ 1,7 tỷ/căn(*) Ưu đãi đặc biệt:- Booking ưu tiên chỉ 50 triệu/căn (có hoàn lại nếu không chọn).- Chính sách booking sớm: ch...",Cơ bản
29,4800.0,63.0,2.0,2.0,,,Có sổ,,,Căn hộ chung cư,Đà Nẵng,Sơn Trà,"Capital Square, Đường Trần Hưng Đạo, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-an-hai-bac-prj-capital-square/-da-nang-sieu-pham-sinh-loi-ben-bo-song-han-pr44131500,Capital Square Đà Nẵng siêu phẩm sinh lời bên bờ sông Hàn,"Vị trí kim cương: Đường Trần Hưng Đạo Ngô Quyền Nguyễn Công Trứ, ngay trung tâm Đà Nẵng, kề cầu Rồng biểu tượng du lịch hút khách bậc nhất miền Trung.Quy mô đẳng cấp: 6,14ha, cao 24 - 28 tầng, đa dạng...",
30,3150.0,3705.0,,,,3.0,Có sổ,,,Đất,TP.HCM,Cần Giờ,"An Thới Đông, Cần Giờ, Hồ Chí Minh",https://batdongsan.com.vn/ban-dat-xa-an-thoi-dong/b-3705m-2-so-chinh-chu-g-trung-tam-c-gio-gia-850k-m-pr44090457,"Bán đất 3705m² (2 sổ) chính chủ, gần trung tâm xã An Thới Đông Cần Giờ, giá 850k/m²","Tổng diện tích 3705 m² đất ở gần khu vực trung tâm xã An Thới Đông - Cần Giờ, đất nuôi trồng thủy sản (2 sổ hồng riêng 1205m² và 2500m²).Đất chính chủ đứng tên trên sổ, mua 1 sổ cũng bán.Xe máy vào đấ...",
31,1250.0,156.0,,,6.0,17.0,Có sổ,Đông - Bắc,,Đất nền dự án,Quảng Nam,Núi Thành,"Dự án KĐT Vịnh An Hòa, Xã Tam Hiệp, Núi Thành, Quảng Nam",https://batdongsan.com.vn/ban-dat-nen-du-an-xa-tam-hiep-2-prj-kdt-vinh-an-hoa-nui-thanh/sup-ham-1-lo-duy-nhat-hien-tai-huong-gia-lo-600-trieu-pr39621220,Sụp hầm 1 lô duy nhất hiện tại hướng Vịnh giá lỗ 600 triệu,"Sup hầm 1 lô duy nhất hiện tại hướng Vịnh giá lỗ 600 triệu.- Sổ đỏ sẵn.- Diện tích 156m².- Gần ngay công viên trung tâm, hồ bơi, trường học.- Cam kết giá rẻ nhất hiện tại.Liên hệ ngay0919 832 ***để xe...",
